threads,dq,event,value
8,1024,branch-misses,38428.0
8,2048,task-clock,781.51
8,2048,cycles,4225424339.0
8,2048,instructions,22548495502.0
8,2048,cache-misses,5137491.0
8,2048,branches,661162933.0
8,2048,branch-misses,1080268.0
10,2,task-clock,113918.32
10,2,cycles,256965201418.0
10,2,instructions,737010087633.0
10,2,cache-misses,173341737.0
10,2,branches,109263193447.0
10,2,branch-misses,1388167497.0
10,4,task-clock,16891.82
10,4,cycles,46344476303.0
10,4,instructions,156032529625.0
10,4,cache-misses,27033093.0
10,4,branches,16453584461.0
10,4,branch-misses,175086311.0
10,8,task-clock,3807.4
10,8,cycles,14621059947.0
10,8,instructions,57351934567.0
10,8,cache-misses,6971951.0
10,8,branches,3686475509.0
10,8,branch-misses,25731776.0
10,16,task-clock,1656.98
10,16,cycles,8088207362.0
10,16,instructions,35399130730.0
10,16,cache-misses,3493220.0
10,16,branches,1551365785.0
10,16,branch-misses,3879066.0
10,32,task-clock,1138.72
10,32,cycles,5929905942.0
10,32,instructions,28248442062.0
10,32,cache-misses,8032645.0
10,32,branches,1025837872.0
10,32,branch-misses,799973.0
10,64,task-clock,976.65
10,64,cycles,5100392281.0
10,64,instructions,25252792004.0
10,64,cache-misses,8269299.0
10,64,branches,834366716.0
10,64,branch-misses,1181341.0
10,128,task-clock,930.8
10,128,cycles,4877038313.0
10,128,instructions,23845726811.0
10,128,cache-misses,9907246.0
10,128,branches,746452927.0
10,128,branch-misses,311195.0
10,256,task-clock,992.63
10,256,cycles,5097857806.0
10,256,instructions,23163416684.0
10,256,cache-misses,58964671.0
10,256,branches,704704944.0
10,256,branch-misses,7885070.0
10,512,task-clock,915.18
10,512,cycles,4726384133.0
10,512,instructions,22828886414.0
10,512,cache-misses,34056389.0
10,512,branches,684845097.0
10,512,branch-misses,51928.0
10,1024,task-clock,897.49
10,1024,cycles,4643566680.0
10,1024,instructions,22655085574.0
10,1024,cache-misses,19935180.0
10,1024,branches,672839430.0
10,1024,branch-misses,38142.0
10,2048,task-clock,825.68
10,2048,cycles,4369046112.0
10,2048,instructions,22548495609.0
10,2048,cache-misses,5077948.0
10,2048,branches,661163031.0
10,2048,branch-misses,1082234.0
12,2,task-clock,113533.13
12,2,cycles,254964278405.0
12,2,instructions,740465124547.0
12,2,cache-misses,166487172.0
12,2,branches,109939349088.0
12,2,branch-misses,1386878607.0
12,4,task-clock,16787.09
12,4,cycles,45154385681.0
12,4,instructions,156471459428.0
12,4,cache-misses,25463142.0
12,4,branches,16539457457.0
12,4,branch-misses,174090262.0
12,8,task-clock,3783.7
12,8,cycles,14328100762.0
12,8,instructions,57356378252.0
12,8,cache-misses,6836898.0
12,8,branches,3687744067.0
12,8,branch-misses,25647636.0
12,16,task-clock,1688.64
12,16,cycles,8243571179.0
12,16,instructions,35407522435.0
12,16,cache-misses,3593248.0
12,16,branches,1553762671.0
12,16,branch-misses,3878867.0
12,32,task-clock,1175.09
12,32,cycles,6023544856.0
12,32,instructions,28255337081.0
12,32,cache-misses,8292044.0
12,32,branches,1027807126.0
12,32,branch-misses,801688.0
12,64,task-clock,981.96
12,64,cycles,5138369119.0
12,64,instructions,25253832202.0
12,64,cache-misses,8573834.0
12,64,branches,834663318.0
12,64,branch-misses,1178535.0
12,128,task-clock,940.86
12,128,cycles,4912151860.0
12,128,instructions,23849523392.0
12,128,cache-misses,10970683.0
12,128,branches,747537011.0
12,128,branch-misses,310795.0
12,256,task-clock,987.48
12,256,cycles,5094063687.0
12,256,instructions,23168436913.0
12,256,cache-misses,60440262.0
12,256,branches,706138678.0
12,256,branch-misses,7107996.0
12,512,task-clock,913.04
12,512,cycles,4734864997.0
12,512,instructions,22828166327.0
12,512,cache-misses,34602167.0
12,512,branches,684638745.0
12,512,branch-misses,51943.0
12,1024,task-clock,880.17
12,1024,cycles,4574352173.0
12,1024,instructions,22656416397.0
12,1024,cache-misses,20097814.0
12,1024,branches,673218912.0
12,1024,branch-misses,38006.0
12,2048,task-clock,772.2
12,2048,cycles,4176199319.0
12,2048,instructions,22548495544.0
12,2048,cache-misses,3601173.0
12,2048,branches,661162966.0
12,2048,branch-misses,1080766.0
