threads,dq,branch-misses,branches,cache-misses,cycles,duration_time,instructions,task-clock,time_s,ipc,cache_miss_per_instruction,duration_time_s,speedup,efficiency
8,8,25991564.0,3674086827.0,8441098.0,14591332140.0,1795207423.0,57290729455.0,7021.0,7.021,3.926353598513864,0.00014733793897021694,1.795207423,1.0291981199259366,0.12864976499074207
8,16,3913997.0,1548978945.0,4852645.0,8232891592.0,865414320.0,35388642230.0,3333.0,3.333,4.298446279116267,0.00013712436234375415,0.86541432,1.0258025802580257,0.12822532253225322
8,32,810115.0,1025812166.0,10565942.0,6185933837.0,596633627.0,28248348961.0,2270.0,2.27,4.566545602547155,0.00037403750621275116,0.596633627,0.9229074889867842,0.11536343612334803
8,64,1192225.0,832287230.0,16967934.0,5320224737.0,521296662.0,25245478459.0,1964.0,1.964,4.7451902329290645,0.0006721177428883682,0.521296662,0.8391038696537678,0.10488798370672098
8,128,323111.0,744350025.0,29890085.0,4987200197.0,493517940.0,23838363888.0,1844.0,1.844,4.779909156712764,0.0012538647845310549,0.49351794,0.8470715835140997,0.10588394793926247
8,256,7269314.0,702331138.0,373056260.0,5338302936.0,537218727.0,23155105449.0,2013.0,2.013,4.337540549234952,0.01611118812745943,0.537218727,0.8539493293591655,0.10674366616989568
8,512,53513.0,682032452.0,267152829.0,5499556733.0,530595987.0,22819039534.0,1984.0,1.984,4.149250683618686,0.011707452831305481,0.530595987,0.779233870967742,0.09740423387096775
8,1024,38107.0,671431688.0,61248264.0,4636655191.0,492348099.0,22650155751.0,1841.0,1.841,4.885020519741296,0.002704099021363061,0.492348099,0.8180336773492667,0.10225420966865834
8,2048,1080907.0,661163550.0,6510136.0,4685759999.0,1511659964.0,22548497528.0,1510.0,1.51,4.812132403881575,0.00028871706382724267,1.511659964,1.0980132450331126,0.13725165562913907
10,2,1391071537.0,109937569692.0,165026399.0,254891811017.0,49432921527.0,740458901991.0,196874.0,196.874,2.904992902818738,0.00022287043690914508,49.432921527,0.9898412182411085,0.09898412182411084
10,4,175552113.0,16537566852.0,26899884.0,45082455080.0,7287409895.0,156464837372.0,28915.0,28.915,3.4706370159821387,0.000171922870670582,7.287409895,1.014283243991008,0.10142832439910081
10,8,25614682.0,3686883440.0,8447746.0,14996159755.0,1815858298.0,57353360046.0,7132.0,7.132,3.824536480206362,0.00014729295708611534,1.815858298,1.0131800336511498,0.10131800336511498
10,16,3922009.0,1551403671.0,5843333.0,8117690675.0,852455844.0,35399261959.0,3303.0,3.303,4.360755216753809,0.0001650693454221685,0.852455844,1.0351195882531032,0.10351195882531032
10,32,822949.0,1026864845.0,11110968.0,6229114384.0,593181864.0,28251814173.0,2272.0,2.272,4.535446362257714,0.00039328334569815524,0.593181864,0.9220950704225354,0.09220950704225353
10,64,1193875.0,833423829.0,17935763.0,5308348549.0,512435028.0,25249459178.0,1948.0,1.948,4.756556383765824,0.000710342462131923,0.512435028,0.8459958932238193,0.08459958932238193
10,128,322133.0,746122386.0,29054113.0,5042626651.0,492124293.0,23844569352.0,1865.0,1.865,4.728600985613599,0.0012184792508136886,0.492124293,0.8375335120643432,0.08375335120643432
10,256,8064144.0,703957859.0,389536367.0,5484947926.0,554159442.0,23160801384.0,2120.0,2.12,4.222610988558727,0.016818777577752575,0.554159442,0.8108490566037736,0.08108490566037736
10,512,55914.0,683672517.0,260926653.0,5583560706.0,534700513.0,22824781765.0,2035.0,2.035,4.087854143051203,0.011431726081171581,0.534700513,0.7597051597051597,0.07597051597051598
10,1024,38804.0,672909521.0,63493885.0,4634985295.0,487590740.0,22655331097.0,1843.0,1.843,4.887897081667009,0.00280260238652649,0.48759074,0.8171459576776994,0.08171459576776993
10,2048,1080752.0,661163544.0,6919501.0,4655962719.0,1491259505.0,22548497531.0,1489.0,1.489,4.842929140945297,0.0003068719319540901,1.491259505,1.1134989926124914,0.11134989926124914
12,2,1388371472.0,109939839601.0,165383789.0,255388278226.0,49402598176.0,740466838853.0,196387.0,196.387,2.89937676073661,0.0002233507029918899,49.402598176,0.9922958240616742,0.08269131867180618
12,4,175200440.0,16455129713.0,26754464.0,45048676997.0,7237246973.0,156037933215.0,28724.0,28.724,3.4637628364844386,0.00017146128155347856,7.237246973,1.0210277120178248,0.08508564266815206
12,8,25698645.0,3687746823.0,8438881.0,14677575006.0,1789790751.0,57356384364.0,7063.0,7.063,3.9077561750189296,0.00014713063059282905,1.789790751,1.0230780121761291,0.08525650101467742
12,16,4062279.0,1550976898.0,5447887.0,8459534488.0,916071848.0,35395639058.0,3577.0,3.577,4.184111916348274,0.00015391407373865982,0.916071848,0.9558289069052278,0.07965240890876898
12,32,840998.0,1028421796.0,11854172.0,6478675766.0,606299701.0,28257265813.0,2354.0,2.354,4.361580488607523,0.0004195088115901994,0.606299701,0.8899745114698386,0.07416454262248655
12,64,1191149.0,835685504.0,16780426.0,5407180210.0,518293204.0,25257409525.0,1993.0,1.993,4.67108706277056,0.0006643763677898397,0.518293204,0.8268941294530857,0.06890784412109048
12,128,316280.0,748139727.0,29931867.0,5081914083.0,494660058.0,23851628113.0,1886.0,1.886,4.693433954892779,0.0012549192389800028,0.494660058,0.8282078472958644,0.0690173206079887
12,256,7853884.0,705724987.0,367712119.0,5432705670.0,542641888.0,23166987717.0,2087.0,2.087,4.26435539199752,0.01587224560619816,0.542641888,0.8236703402012457,0.06863919501677047
12,512,55545.0,684671997.0,249827771.0,5573152968.0,534193708.0,22828282231.0,2049.0,2.049,4.0961162132235955,0.010943783175272939,0.534193708,0.7545143972669596,0.06287619977224664
12,1024,39069.0,675135149.0,70279060.0,4767208937.0,493091472.0,22663122050.0,1880.0,1.88,4.753960304551258,0.003101031704499866,0.493091472,0.8010638297872341,0.06675531914893618
12,2048,1080620.0,661163546.0,6731355.0,4686232247.0,1497481343.0,22548497533.0,1495.0,1.495,4.811647469549753,0.0002985278726508753,1.497481343,1.109030100334448,0.09241917502787067
